year,month,Mkt-RF,SMB,HML,RMW,CMA,RF,end,%_change,excess_ret
2018,9,0.06,-2.49,-1.7,0.67,1.3,0.15,2018-09-04,-1.3888928020280589,-1.5388928020280588
2018,10,-7.68,-4.46,3.43,0.98,3.6,0.19,2018-10-01,5.2615694164989835,5.071569416498983
2018,11,1.69,-0.77,0.26,-0.65,0.36,0.18,2018-11-01,-8.416602613374332,-8.596602613374332
2018,12,-9.55,-2.9,-1.9,-0.04,0.22,0.19,2018-12-03,-8.728493495593783,-8.918493495593783
2019,1,8.41,3.01,-0.44,-0.77,-1.51,0.21,2019-01-02,10.057466666666661,9.84746666666666
2019,2,3.4,1.72,-2.68,0.21,-1.62,0.18,2019-02-01,3.3613488807289515,3.1813488807289514
2019,3,1.1,-3.47,-4.05,0.81,-0.97,0.19,2019-03-01,-3.9024430894309017,-4.092443089430902
2019,4,3.97,-1.14,2.17,1.64,-2.2,0.21,2019-04-01,6.704742246393488,6.494742246393488
2019,5,-6.94,-1.58,-2.37,-0.51,1.75,0.21,2019-05-01,-7.535881180223285,-7.745881180223285
2019,6,6.93,0.36,-0.71,0.86,-0.43,0.18,2019-06-03,4.0319058200989355,3.8519058200989353
2019,7,1.19,-1.87,0.57,-0.04,0.32,0.19,2019-07-01,-0.10425771476230028,-0.2942577147623003
2019,8,-2.58,-3.22,-4.89,0.55,-0.71,0.16,2019-08-01,-8.693822288694774,-8.853822288694774
2019,9,1.43,0.3,6.88,1.82,3.38,0.18,2019-09-03,1.9779208831646886,1.7979208831646887
2019,10,2.07,0.22,-1.91,0.48,-1.02,0.15,2019-10-01,-2.8642354533153025,-3.0142354533153024
2019,11,3.87,0.49,-2.09,-1.64,-1.2,0.12,2019-11-01,24.497429850277236,24.377429850277235
2019,12,2.77,0.95,1.8,-0.01,1.24,0.14,2019-12-30,7.766352730380116,7.626352730380116
2020,1,-0.1,-4.4,-6.17,-1.16,-2.34,0.13,2020-01-02,8.561765752936992,8.431765752936991
2020,2,-8.13,-0.01,-3.75,-1.45,-2.52,0.12,2020-02-03,0.40308700033590855,0.28308700033590856
2020,3,-13.38,-8.36,-13.92,-1.49,1.21,0.12,2020-03-02,-14.486450802490822,-14.606450802490821
2020,4,13.65,2.66,-1.3,2.64,-0.94,0.0,2020-04-01,16.13850610870524,16.13850610870524
2020,5,5.58,2.02,-4.92,0.92,-3.21,0.01,2020-05-01,1.8286453833848557,1.8186453833848557
2020,6,2.46,1.94,-2.12,0.11,0.51,0.01,2020-06-01,2.593947455936153,2.583947455936153
2020,7,5.77,-3.17,-1.53,0.36,0.9,0.01,2020-07-01,4.846025931928686,4.8360259319286865
2020,8,7.63,-0.92,-2.95,4.36,-1.35,0.01,2020-08-03,0.9940944701489516,0.9840944701489516
2020,9,-3.63,0.01,-2.58,-1.38,-1.8,0.01,2020-09-01,-6.674863529674788,-6.684863529674788
2020,10,-2.1,4.66,4.14,-0.93,-0.77,0.01,2020-10-01,-4.9802274225444965,-4.990227422544496
2020,11,12.47,6.99,2.1,-2.11,1.36,0.01,2020-11-02,4.94601201483846,4.93601201483846
2021,1,-0.03,6.77,3.0,-3.62,4.78,0.0,2021-01-04,11.025558637956289,11.025558637956289
2021,2,2.78,4.53,7.2,0.45,-1.87,0.0,2021-02-01,10.845064788732392,10.845064788732392
2021,3,3.08,-0.93,7.41,6.35,3.47,0.0,2021-03-01,8.716648473527234,8.716648473527234
2021,4,4.93,-3.1,-0.95,2.3,-2.81,0.0,2021-04-01,9.852742165795757,9.852742165795757
2021,5,0.29,1.19,7.04,2.34,3.09,0.0,2021-05-03,-4.377541986865607,-4.377541986865607
2021,6,2.75,-0.28,-7.82,-2.14,-1.04,0.0,2021-06-01,-0.35730237510723617,-0.35730237510723617
2021,7,1.27,-4.55,-1.74,5.37,-0.54,0.0,2021-07-01,4.492611037485671,4.492611037485671
2021,8,2.91,-0.78,-0.15,-0.26,-1.66,0.0,2021-08-02,3.9148180720663404,3.9148180720663404
2021,9,-4.37,1.21,5.06,-1.94,2.02,0.0,2021-09-01,-2.8358558717479627,-2.8358558717479627
2021,10,6.65,-2.71,-0.48,1.74,-1.51,0.0,2021-10-01,18.368129918366634,18.368129918366634
2021,11,-1.55,-1.73,-0.42,7.38,1.63,0.0,2021-11-01,-2.242311071289531,-2.242311071289531
2021,12,3.1,-0.69,3.22,4.75,4.36,0.01,2021-12-01,4.051052459285009,4.041052459285009
2022,1,-6.25,-3.95,12.74,0.73,7.73,0.0,2022-01-03,-5.459557333333338,-5.459557333333338
2022,2,-2.29,2.9,3.09,-2.12,2.99,0.0,2022-02-01,-6.352495878463636,-6.352495878463636
2022,3,3.06,-2.14,-1.82,-1.32,3.24,0.0,2022-03-01,0.9259259259259276,0.9259259259259276
2022,4,-9.44,-0.39,6.16,3.51,5.88,0.0,2022-04-01,-8.193059433585953,-8.193059433585953
